,ideCadastro,codOrcamento,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email,qtdPropostas,qtdPresencas,qtdAusencias,produtividade
0,178980,3283.0,Titular,361,5830382,ANTONIO GOULART DOS REIS,GOULART,http://www.camara.gov.br/internet/deputado/bandep/178980.jpg,masculino,SP,PSD,533,4,3215-5533,dep.goulart@camara.gov.br,11.0,38.0,8,1.40827047906
1,141335,2152.0,Titular,19,5830714,JOSÉ ROBERTO OLIVEIRA FARO,BETO FARO,http://www.camara.gov.br/internet/deputado/bandep/141335.jpg,masculino,PA,PT,723,4,3215-5723,dep.betofaro@camara.gov.br,0.0,42.0,6,0.673670425609
2,141531,2488.0,Titular,268,5830453,RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,http://www.camara.gov.br/internet/deputado/bandep/141531.jpg,masculino,MG,PSDB,701,4,3215-5701,dep.rodrigodecastro@camara.gov.br,0.0,44.0,3,1.02714684128
3,141478,2551.0,Titular,412,5830785,LAERTE RODRIGUES DE BESSA,LAERTE BESSA,http://www.camara.gov.br/internet/deputado/bandep/141478.jpg,masculino,DF,PR,340,4,3215-5340,dep.laertebessa@camara.gov.br,1.0,36.0,12,0.0629659505487
4,178826,3712.0,Titular,368,5830405,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,http://www.camara.gov.br/internet/deputado/bandep/178826.jpg,masculino,SP,SD,279,3,3215-5279,dep.majorolimpio@camara.gov.br,17.0,36.0,12,0.246266921422
5,160510,2762.0,Titular,251,5830737,LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBÉ,http://www.camara.gov.br/internet/deputado/bandep/160510.jpg,masculino,MG,AVANTE,632,4,3215-5632,dep.luistibe@camara.gov.br,6.0,24.0,24,-2.00180239946
6,178927,3041.0,Titular,441,5830336,ALIEL MACHADO BARK,ALIEL MACHADO,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg,masculino,PR,REDE,480,3,3215-5480,dep.alielmachado@camara.gov.br,2.0,36.0,12,0.0744222612283
7,74812,3672.0,Titular,428,5830691,PEDRO PINHEIRO CHAVES,PEDRO CHAVES,http://www.camara.gov.br/internet/deputado/bandep/74812.jpg,masculino,GO,PMDB,406,4,3215-5406,dep.pedrochaves@camara.gov.br,0.0,45.0,1,1.2696253183
8,159237,2705.0,Titular,111,5830359,FRANCISCO DE ASSIS CARVALHO GONÇALVES,ASSIS CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg,masculino,PI,PT,909,4,3215-5909,dep.assiscarvalho@camara.gov.br,0.0,33.0,14,-0.113481265915
9,178915,3053.0,Titular,141,5830545,HEBERTE LAMARCK GOMES DA SILVA,BETINHO GOMES,http://www.camara.gov.br/internet/deputado/bandep/178915.jpg,masculino,PE,PSDB,269,3,3215-5269,dep.betinhogomes@camara.gov.br,2.0,43.0,4,1.23394008059
