,ideCadastro,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email
0,199809,Suplente,607,5830926,EDERSON DAL MOLIN,XUXU DAL MOLIN,http://www.camara.gov.br/internet/deputado/bandep/199809.jpg,masculino,MT,PSC,374,3,3215-5374,dep.xuxudalmolin@camara.gov.br
1,74478,Suplente,605,5830924,LUCIANO CALDAS BIVAR,LUCIANO BIVAR,http://www.camara.gov.br/internet/deputado/bandep/74478.jpg,masculino,PE,PSL,525,4,3215-5525,dep.lucianobivar@camara.gov.br
2,141513,Titular,232,5830796,OLAVO BILAC PINTO NETO,BILAC PINTO,http://www.camara.gov.br/internet/deputado/bandep/141513.jpg,masculino,MG,PR,806,4,3215-5806,dep.bilacpinto@camara.gov.br
3,186775,Titular,544,5830835,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,masculino,MG,PP,627,4,3215-5627,dep.franklin@camara.gov.br
4,73805,Suplente,546,5830837,ROBERTO JOÃO PEREIRA FREIRE,ROBERTO FREIRE,http://www.camara.gov.br/internet/deputado/bandep/73805.jpg,masculino,SP,PPS,242,4,3215-5242,dep.robertofreire@camara.gov.br
5,151965,Suplente,549,5830841,JOSÉ DE ANDRADE MAIA FILHO,MAIA FILHO,http://www.camara.gov.br/internet/deputado/bandep/151965.jpg,masculino,PI,PP,624,4,3215-5624,dep.maiafilho@camara.gov.br
6,178841,Titular,165,5830797,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,http://www.camara.gov.br/internet/deputado/bandep/178841.jpg,masculino,AL,PODE,760,4,3215-5760,dep.ciceroalmeida@camara.gov.br
7,189593,Titular,550,5830842,WADIH NEMER DAMOUS FILHO,WADIH DAMOUS,http://www.camara.gov.br/internet/deputado/bandep/189593.jpg,masculino,RJ,PT,413,4,3215-5413,dep.wadihdamous@camara.gov.br
8,74856,Titular,558,5830850,MARIA LAURA MONTEZA DE SOUZA CARNEIRO,LAURA CARNEIRO,http://www.camara.gov.br/internet/deputado/bandep/74856.jpg,feminino,RJ,PMDB,419,4,3215-5419,dep.lauracarneiro@camara.gov.br
9,74103,Suplente,555,5830847,FRANCISCO ARIOSTO HOLANDA,ARIOSTO HOLANDA,http://www.camara.gov.br/internet/deputado/bandep/74103.jpg,masculino,CE,PDT,522,4,3215-5522,dep.ariostoholanda@camara.gov.br
10,191945,Suplente,557,5830849,JOSÉ AUGUSTO NALIN,ZÉ AUGUSTO NALIN,http://www.camara.gov.br/internet/deputado/bandep/191945.jpg,masculino,RJ,PMDB,302,4,3215-5302,dep.zeaugustonalin@camara.gov.br
11,74395,Titular,501,5830798,JOSÉ OTÁVIO GERMANO,JOSÉ OTÁVIO GERMANO,http://www.camara.gov.br/internet/deputado/bandep/74395.jpg,masculino,RS,PP,424,4,3215-5424,dep.joseotaviogermano@camara.gov.br
12,160543,Titular,174,5830799,ANDRÉ LUIS DANTAS FERREIRA,ANDRE MOURA,http://www.camara.gov.br/internet/deputado/bandep/160543.jpg,masculino,SE,PSC,846,4,3215-5846,dep.andremoura@camara.gov.br
13,101309,Suplente,525,5830808,DAVIDSON DE MAGALHÃES SANTOS,DAVIDSON MAGALHÃES,http://www.camara.gov.br/internet/deputado/bandep/101309.jpg,masculino,BA,PCdoB,642,4,3215-5642,dep.davidsonmagalhaes@camara.gov.br
14,92699,Suplente,529,5830812,FERNANDO MONTEIRO DE ALBUQUERQUE,FERNANDO MONTEIRO,http://www.camara.gov.br/internet/deputado/bandep/92699.jpg,masculino,PE,PP,282,3,3215-5282,dep.fernandomonteiro@camara.gov.br
15,180545,Titular,531,5830814,OSMAR STUART BERTOLDI,OSMAR BERTOLDI,http://www.camara.gov.br/internet/deputado/bandep/180545.jpg,masculino,PR,DEM,268,3,3215-5268,dep.osmarbertoldi@camara.gov.br
16,73568,Titular,537,5830828,CELSO ALENCAR RAMOS JACOB,CELSO JACOB,http://www.camara.gov.br/internet/deputado/bandep/73568.jpg,masculino,RJ,PMDB,382,3,3215-5382,dep.celsojacob@camara.gov.br
17,131966,Suplente,539,5830830,JOSÉ ALBERTO FOGAÇA DE MEDEIROS,JOSÉ FOGAÇA,http://www.camara.gov.br/internet/deputado/bandep/131966.jpg,masculino,RS,PMDB,376,3,3215-5376,dep.josefogaca@camara.gov.br
18,193066,Suplente,562,5830858,WILSON SILVA BESERRA,WILSON BESERRA,http://www.camara.gov.br/internet/deputado/bandep/193066.jpg,masculino,RJ,PMDB,467,3,3215-5467,dep.wilsonbeserra@camara.gov.br
19,160665,Titular,528,5830811,AUGUSTO RODRIGUES COUTINHO DE MELO,AUGUSTO COUTINHO,http://www.camara.gov.br/internet/deputado/bandep/160665.jpg,masculino,PE,SD,373,3,3215-5373,dep.augustocoutinho@camara.gov.br
20,160631,Titular,535,5830826,WALNEY DA ROCHA CARVALHO,WALNEY ROCHA,http://www.camara.gov.br/internet/deputado/bandep/160631.jpg,masculino,RJ,PEN,575,3,3215-5575,dep.walneyrocha@camara.gov.br
21,124411,Suplente,540,5830831,MAURO PEREIRA,MAURO PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/124411.jpg,masculino,RS,PMDB,843,4,3215-5843,dep.mauropereira@camara.gov.br
22,185500,Suplente,543,5830834,DEOCLIDES ANTONIO SANTOS NETO MACEDO,DEOCLIDES MACEDO,http://www.camara.gov.br/internet/deputado/bandep/185500.jpg,masculino,MA,PDT,350,4,3215-5350,dep.deoclidesmacedo@camara.gov.br
23,194261,Titular,577,5830886,CAJAR ONESIMO RIBEIRO NARDES,CAJAR NARDES,http://www.camara.gov.br/internet/deputado/bandep/194261.jpg,masculino,RS,PODE,379,3,3215-5379,dep.cajarnardes@camara.gov.br
24,194262,Suplente,578,5830887,JONES ALEXANDRE MARTINS,JONES MARTINS,http://www.camara.gov.br/internet/deputado/bandep/194262.jpg,masculino,RS,PMDB,927,4,3215-5927,dep.jonesmartins@camara.gov.br
25,195143,Titular,583,5830902,ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO,ANDRÉ AMARAL,http://www.camara.gov.br/internet/deputado/bandep/195143.jpg,masculino,PB,PMDB,276,3,3215-5276,dep.andreamaral@camara.gov.br
26,146949,Suplente,586,5830905,ROSEANE CAVALCANTE DE FREITAS ESTRELA,ROSINHA DA ADEFAL,http://www.camara.gov.br/internet/deputado/bandep/146949.jpg,feminino,AL,AVANTE,412,4,3215-5412,dep.rosinhadaadefal@camara.gov.br
27,73584,Titular,519,5830802,ANTONIO CARLOS DE MENDES THAME,ANTONIO CARLOS MENDES THAME,http://www.camara.gov.br/internet/deputado/bandep/73584.jpg,masculino,SP,PV,626,4,3215-5626,dep.antoniocarlosmendesthame@camara.gov.br
28,133374,Suplente,520,5830803,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,masculino,MG,PODE,556,4,3215-5556,dep.ademircamilo@camara.gov.br
29,74277,Titular,521,5830804,ANTONIO ADOLPHO LOBBE NETO,LOBBE NETO,http://www.camara.gov.br/internet/deputado/bandep/74277.jpg,masculino,SP,PSDB,275,3,3215-5275,dep.lobbeneto@camara.gov.br
30,181316,Titular,538,5830829,ELIZEU DIONIZIO SOUZA  DA SILVA,ELIZEU DIONIZIO,http://www.camara.gov.br/internet/deputado/bandep/181316.jpg,masculino,MS,PSDB,531,4,3215-5531,dep.elizeudionizio@camara.gov.br
31,167614,Suplente,573,5830881,SEVERINO DE SOUZA SILVA,SEVERINO NINHO,http://www.camara.gov.br/internet/deputado/bandep/167614.jpg,masculino,PE,PSB,314,4,3215-5314,dep.severinoninho@camara.gov.br
32,141522,Titular,589,5830908,RAIMUNDO SABINO CASTELO BRANCO MAUÉS,SABINO CASTELO BRANCO,http://www.camara.gov.br/internet/deputado/bandep/141522.jpg,masculino,AM,PTB,474,3,3215-5474,dep.sabinocastelobranco@camara.gov.br
33,171620,Titular,590,5830909,RENATO BARBOSA DE ANDRADE,RENATO ANDRADE,http://www.camara.gov.br/internet/deputado/bandep/171620.jpg,masculino,MG,PP,483,3,3215-5483,dep.renatoandrade@camara.gov.br
34,196378,Suplente,599,5830918,IZAQUE JOSE DA SILVA,IZAQUE SILVA,http://www.camara.gov.br/internet/deputado/bandep/196378.jpg,masculino,SP,PSDB,915,4,3215-5915,dep.izaquesilva@camara.gov.br
35,194260,Suplente,576,5830885,NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO ALBUQUERQUE,http://www.camara.gov.br/internet/deputado/bandep/194260.jpg,masculino,AL,PRP,425,4,3215-5425,dep.nivaldoalbuquerque@camara.gov.br
36,195278,Suplente,584,5830903,MOISES DINIZ LIMA,MOISÉS DINIZ,http://www.camara.gov.br/internet/deputado/bandep/195278.jpg,masculino,AC,PCdoB,421,4,3215-5421,dep.moisesdiniz@camara.gov.br
37,195826,Titular,592,5830911,MARCELO JANDRE DELAROLI,MARCELO DELAROLI,http://www.camara.gov.br/internet/deputado/bandep/195826.jpg,masculino,RJ,PR,509,4,3215-5509,dep.marcelodelaroli@camara.gov.br
38,196357,Suplente,594,5830913,DEJORGE PATRICIO DA SILVA,DEJORGE PATRÍCIO,http://www.camara.gov.br/internet/deputado/bandep/196357.jpg,masculino,RJ,PRB,714,4,3215-5714,dep.dejorgepatricio@camara.gov.br
39,160676,Titular,523,5830806,FERNANDO DANTAS TORRES,FERNANDO TORRES,http://www.camara.gov.br/internet/deputado/bandep/160676.jpg,masculino,BA,PSD,576,3,3215-5576,dep.fernandotorres@camara.gov.br
40,73786,Suplente,566,5830862,REINHOLD STEPHANES,REINHOLD STEPHANES,http://www.camara.gov.br/internet/deputado/bandep/73786.jpg,masculino,PR,PSD,519,4,3215-5519,dep.reinholdstephanes@camara.gov.br
41,160660,Suplente,522,5830805,MARCELO THEODORO DE AGUIAR,MARCELO AGUIAR,http://www.camara.gov.br/internet/deputado/bandep/160660.jpg,masculino,SP,DEM,367,3,3215-5367,dep.marceloaguiar@camara.gov.br
