,ideCadastro,nome,nomeParlamentar,sexo,uf,partido,condicao,email,urlFoto,fone,qtdPropostas,qtdPresencas,qtdAusencias
0,141513,OLAVO BILAC PINTO NETO,BILAC PINTO,masculino,MG,PR,Titular,dep.bilacpinto@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141513.jpg,3215-5806,1,36,11
1,186775,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,masculino,MG,PP,Titular,dep.franklin@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,3215-5627,4,11,13
2,186775,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,masculino,MG,PP,Titular,dep.franklin@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,3215-5627,4,11,4
3,186775,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,masculino,MG,PP,Titular,dep.franklin@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,3215-5627,4,20,13
4,186775,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,masculino,MG,PP,Titular,dep.franklin@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,3215-5627,4,20,4
5,151965,JOSÉ DE ANDRADE MAIA FILHO,MAIA FILHO,masculino,PI,PP,Suplente,dep.maiafilho@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/151965.jpg,3215-5624,10,33,14
6,178841,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,masculino,AL,PODE,Titular,dep.ciceroalmeida@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178841.jpg,3215-5760,3,42,4
7,189593,WADIH NEMER DAMOUS FILHO,WADIH DAMOUS,masculino,RJ,PT,Titular,dep.wadihdamous@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/189593.jpg,3215-5413,11,30,18
8,74856,MARIA LAURA MONTEZA DE SOUZA CARNEIRO,LAURA CARNEIRO,feminino,RJ,PMDB,Titular,dep.lauracarneiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74856.jpg,3215-5419,33,31,16
9,160543,ANDRÉ LUIS DANTAS FERREIRA,ANDRE MOURA,masculino,SE,PSC,Titular,dep.andremoura@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160543.jpg,3215-5846,1,18,27
10,101309,DAVIDSON DE MAGALHÃES SANTOS,DAVIDSON MAGALHÃES,masculino,BA,PCdoB,Suplente,dep.davidsonmagalhaes@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/101309.jpg,3215-5642,2,40,5
11,92699,FERNANDO MONTEIRO DE ALBUQUERQUE,FERNANDO MONTEIRO,masculino,PE,PP,Suplente,dep.fernandomonteiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/92699.jpg,3215-5282,3,40,6
12,193066,WILSON SILVA BESERRA,WILSON BESERRA,masculino,RJ,PMDB,Suplente,dep.wilsonbeserra@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193066.jpg,3215-5467,1,37,10
13,160631,WALNEY DA ROCHA CARVALHO,WALNEY ROCHA,masculino,RJ,PEN,Titular,dep.walneyrocha@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160631.jpg,3215-5575,1,47,1
14,185500,DEOCLIDES ANTONIO SANTOS NETO MACEDO,DEOCLIDES MACEDO,masculino,MA,PDT,Suplente,dep.deoclidesmacedo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/185500.jpg,3215-5350,1,20,4
15,194261,CAJAR ONESIMO RIBEIRO NARDES,CAJAR NARDES,masculino,RS,PODE,Titular,dep.cajarnardes@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/194261.jpg,3215-5379,4,40,7
16,194262,JONES ALEXANDRE MARTINS,JONES MARTINS,masculino,RS,PMDB,Suplente,dep.jonesmartins@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/194262.jpg,3215-5927,2,43,4
17,195143,ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO,ANDRÉ AMARAL,masculino,PB,PMDB,Titular,dep.andreamaral@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/195143.jpg,3215-5276,14,41,6
18,146949,ROSEANE CAVALCANTE DE FREITAS ESTRELA,ROSINHA DA ADEFAL,feminino,AL,AVANTE,Suplente,dep.rosinhadaadefal@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/146949.jpg,3215-5412,6,31,17
19,73584,ANTONIO CARLOS DE MENDES THAME,ANTONIO CARLOS MENDES THAME,masculino,SP,PV,Titular,dep.antoniocarlosmendesthame@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/73584.jpg,3215-5626,11,45,3
20,133374,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,masculino,MG,PODE,Suplente,dep.ademircamilo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,3215-5556,2,10,6
