,id,nome,numero,ano,datApresentacao,txtEmenta,txtExplicacaoEmenta,qtdAutores,indGenero,qtdOrgaosComEstado,tipoProposicao_id,tipoProposicao_sigla,tipoProposicao_nome,orgaoNumerador_sigla,orgaoNumerador_nome,orgaoNumerador_id,regime_txtRegime,regime_codRegime,apreciacao_txtApreciacao,apreciacao_id,autor1_txtSiglaPartido,autor1_idecadastro,autor1_txtNomeAutor,autor1_codPartido,autor1_txtSiglaUF,ultimoDespacho_datDespacho,ultimoDespacho_txtDespacho,situacao_id,situacao_descricao,situacao_principal_proposicaoPrincipal,situacao_principal_codProposicaoPrincipal,situacao_orgao_codOrgaoEstado,situacao_orgao_siglaOrgaoEstado
0,2162285,PL 9086/2017,9086,2017,14/11/2017 14:58:00,Dispõe sobre a Política Nacional de Biocombustíveis - RenovaBio e dá outras providências.,Altera a Lei nº 9.478 de 1997.,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PV,178828,Evandro Gussi,140,SP,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
2,2162215,PL 9084/2017,9084,2017,10/11/2017 17:16:00,"Altera a Lei nº 9.427, de 26 de dezembro de 1996, para vedar a aplicação do sistema de bandeiras tarifárias.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PROS,195866,Vaidon Oliveira,222,CE,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
3,2162212,PL 9083/2017,9083,2017,10/11/2017 15:28:00,"Denomina ""Agência Sergio da Fonseca"" a agência do INSS da cidade de Ibitinga/SP.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PR,74787,Milton Monti,168,SP,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
4,2162161,PL 9082/2017,9082,2017,10/11/2017 09:48:00,"Acrescenta novo § 5º ao art. 22 da Lei nº 11.101, de 9 de fevereiro de 2005, com a finalidade de excluir da competência do juízo da recuperação judicial a decisão sobre ação de busca e apreensão que incida sobre bens de terceiros depositados pela sociedade recuperanda.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PMDB,141401,Carlos Bezerra,111,MT,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
5,2162132,PL 9081/2017,9081,2017,9/11/2017 17:55:00,"Altera a Lei nº 7.102, de 20 de junho de 1983, disciplinando a utilização de armas de uso restrito e equipamentos de proteção balística individual por vigilantes em serviço ou quando em transporte de valores.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,DEM,74399,Onyx Lorenzoni,202,RS,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
6,2162128,PL 9079/2017,9079,2017,9/11/2017 17:50:00,"""Dispõe sobre a concessão de descontos em restaurantes a clientes que passaram por cirurgia bariátrica ou qualquer outra gastroplastia"".",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,DEM,160677,Francisco Floriano,202,RJ,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
7,2162129,PL 9080/2017,9080,2017,9/11/2017 17:50:00,"""Dispõe sobre a promoção de campanha educativa contra o racismo direcionada a conscientização de torcidas, jogadores e dirigentes de futebol",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,DEM,160677,Francisco Floriano,202,RJ,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
8,2162127,PL 9078/2017,9078,2017,9/11/2017 17:49:00,"""Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para dispor sobre o incêndio doloso em Unidades de Conservação de Proteção Integral"".",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,DEM,160677,Francisco Floriano,202,RJ,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
9,2162126,PL 9077/2017,9077,2017,9/11/2017 17:47:00,"""Dispõe sobre o uso de fotografias retocadas em publicações, revistas, jornais e matérias de publicidade"".",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,DEM,160677,Francisco Floriano,202,RJ,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
10,2162123,PL 9076/2017,9076,2017,9/11/2017 17:27:00,"Dispõe a conservação, a restauração e o uso sustentável do bioma Caatinga.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PTB,178923,Zeca Cavalcanti,136,PE,,,905,Aguardando Despacho do Presidente da Câmara dos Deputados,,0,100001,SECAP(SGM)
