nome,partido,id_dep,qtd
Abel Mesquita Jr.,dem,178957.0,11
Adail Carneiro,pp,178864.0,20
Adalberto Cavalcanti,ptb,178914.0,10
Adelmo Carneiro Leão,pt,178890.0,6
Adelson Barreto,pr,178968.0,9
Ademir Camilo,pode,133374.0,6
Ademir Camilo,ptn,133374.0,6
Adilton Sachetti,psb,178903.0,25
Aelton Freitas,pr,141372.0,15
Afonso Florence,pt,160508.0,14
Afonso Hamm,pp,136811.0,13
Afonso Motta,pdt,178835.0,1
Aguinaldo Ribeiro,pp,160527.0,19
Alan Rick,prb,178836.0,18
Alberto Filho,pmdb,160582.0,10
Alberto Fraga,dem,73579.0,3
Alceu Moreira,pmdb,160559.0,8
Alessandro Molon,rede,160511.0,16
Alex Canziani,ptb,73458.0,18
Alex Manente,pps,178972.0,13
Alexandre Baldy,pode,178875.0,13
Alexandre Baldy,ptn,178875.0,4
Alexandre Leite,dem,160545.0,18
Alexandre Serfiotis,pmdb,178833.0,15
Alexandre Valle,pr,178936.0,12
Alfredo Kaefer,psl,141454.0,21
Alfredo Nascimento,pr,178846.0,5
Alice Portugal,pcdob,74057.0,15
Aliel Machado,rede,178927.0,12
Altineu Côrtes,pmdb,178937.0,15
Aluisio Mendes,pode,178881.0,7
Aluisio Mendes,ptn,178881.0,11
Ana Perugini,pt,178973.0,25
Andre Moura,psc,160543.0,27
Andres Sanchez,pt,178974.0,8
André Abdon,pp,178831.0,15
André Amaral,pmdb,195143.0,6
André Figueiredo,pdt,133439.0,4
André Fufuca,pp,178882.0,25
André de Paula,psd,74471.0,6
Angelim,pt,178837.0,4
Antonio Brito,psd,160553.0,16
Antonio Bulhões,prb,141383.0,6
Antonio Carlos Mendes Thame,pv,73584.0,3
Antônio Jácome,pode,178950.0,8
Antônio Jácome,ptn,178950.0,9
Aníbal Gomes,pmdb,74212.0,34
Ariosto Holanda,pdt,74103.0,31
Arlindo Chinaglia,pt,73433.0,20
Arnaldo Faria de Sá,ptb,73434.0,5
Arnaldo Jordy,pps,160602.0,13
Arolde de Oliveira,psc,74833.0,11
Arthur Lira,pp,160541.0,14
Arthur Oliveira Maia,pps,160600.0,16
Arthur Virgílio Bisneto,psdb,178847.0,23
Assis Carvalho,pt,159237.0,14
Assis Melo,pcdob,160581.0,4
Assis do Couto,pdt,74378.0,10
Augusto Carvalho,solidaried,73655.0,7
Augusto Coutinho,solidaried,160665.0,8
Aureo,solidaried,160512.0,8
Bacelar,ptn,69871.0,2
Baleia Rossi,pmdb,178975.0,11
Bebeto,psb,178834.0,8
Benedita da Silva,pt,73701.0,18
Benito Gama,ptb,74535.0,3
Benjamin Maranhão,solidaried,74040.0,10
Betinho Gomes,psdb,178915.0,4
Beto Faro,pt,141335.0,6
Beto Mansur,prb,73437.0,13
Beto Rosado,pp,178948.0,25
Beto Salame,pp,178906.0,21
Bilac Pinto,pr,141513.0,11
Bohn Gass,pt,160538.0,14
Bonifácio de Andrada,psdb,74650.0,24
Bruna Furlan,psdb,160589.0,30
Brunny,pr,178999.0,27
Cabo Daciolo,ptdob,178938.0,3
Cabo Sabino,pr,178865.0,12
Cabuçu Borges,pmdb,105112.0,5
Cacá Leão,pp,93083.0,4
Caetano,pt,178853.0,17
Caio Narcio,psdb,178891.0,14
Cajar Nardes,pr,194261.0,7
Capitão Augusto,pr,178829.0,3
Carlos Andrade,phs,178958.0,13
Carlos Bezerra,pmdb,141401.0,5
Carlos Eduardo Cadoca,pdt,74474.0,15
Carlos Gomes,prb,178962.0,7
Carlos Marun,pmdb,178900.0,26
Carlos Melles,dem,74651.0,22
Carlos Sampaio,psdb,74262.0,22
Carlos Zarattini,pt,141398.0,38
Carmen Zanotto,pps,164360.0,16
Celso Jacob,pmdb,73568.0,6
Celso Maldaner,pmdb,141405.0,8
Celso Pansera,pmdb,72912.0,14
Celso Russomanno,prb,73441.0,11
Cesar Souza,psd,73720.0,12
Chico Alencar,psol,74171.0,3
Chico D Angelo,pt,141439.0,1
Chico D´Angelo,pt,141439.0,10
Chico Lopes,pcdob,141440.0,2
Christiane de Souza Yared,pr,178928.0,4
Claudio Cajado,dem,74537.0,14
Cleber Verde,prb,141408.0,14
Conceição Sampaio,pp,178848.0,6
Covatti Filho,pp,178963.0,8
Creuza Pereira,psb,194258.0,5
Cristiane Brasil,ptb,93472.0,22
Célio Silveira,psdb,178876.0,9
César Halum,prb,160576.0,30
César Messias,psb,178838.0,11
Cícero Almeida,pmdb,178841.0,4
Dagoberto Nogueira,pdt,141411.0,4
Damião Feliciano,pdt,74467.0,14
Daniel Almeida,pcdob,74060.0,20
Daniel Coelho,psdb,178916.0,6
Daniel Vilela,pmdb,144523.0,20
Danilo Cabral,psb,160528.0,6
Danilo Forte,psb,62881.0,24
Danrlei de Deus Hinterholz,psd,160552.0,19
Darcísio Perondi,pmdb,73891.0,3
Davidson Magalhães,pcdob,101309.0,5
Dejorge Patrício,prb,196357.0,10
Delegado Francischini,solidaried,160646.0,16
Delegado Waldir,pr,164359.0,12
Delegado Éder Mauro,psd,178908.0,7
Deley,ptb,74172.0,9
Deoclides Macedo,pdt,185500.0,4
Diego Andrade,psd,160588.0,17
Diego Garcia,phs,178929.0,29
Dilceu Sperafico,pp,73768.0,9
Dimas Fabiano,pp,160599.0,4
Domingos Neto,psd,143632.0,20
Domingos Sávio,psdb,160758.0,10
Dr. Jorge Silva,phs,160643.0,5
Dr. Sinval Malheiros,pode,178830.0,4
Dr. Sinval Malheiros,ptn,178830.0,8
Dulce Miranda,pmdb,178994.0,18
Dâmina Pereira,psl,178892.0,14
Décio Lima,pt,141413.0,14
Edio Lopes,pr,141417.0,15
Edmar Arruda,psd,160578.0,25
Edmilson Rodrigues,psol,134812.0,3
Eduardo Barbosa,psdb,74655.0,5
Eduardo Bolsonaro,psc,92346.0,2
Eduardo Cury,psdb,178977.0,5
Eduardo da Fonte,pp,141421.0,17
Efraim Filho,dem,141422.0,11
Elcione Barbalho,pmdb,74075.0,20
Eli Corrêa Filho,dem,160532.0,29
Elizeu Dionizio,psdb,181316.0,21
Eliziane Gama,pps,178883.0,8
Elmar Nascimento,dem,178854.0,10
Enio Verri,pt,132504.0,20
Erika Kokay,pt,160575.0,8
Erivelton Santana,pen,99654.0,16
Eros Biondini,pros,160640.0,16
Esperidião Amin,pp,160649.0,8
Evair Vieira de Melo,pv,178871.0,12
Evandro Gussi,pv,178828.0,28
Evandro Roman,psd,178930.0,12
Expedito Netto,psd,178953.0,2
Ezequiel Fonseca,pp,178904.0,10
Ezequiel Teixeira,pode,178941.0,7
Ezequiel Teixeira,ptn,178941.0,7
Fabio Garcia,psb,178905.0,20
Fabio Reis,pmdb,171623.0,6
Fausto Pinato,pp,66828.0,12
Felipe Bornier,pros,141430.0,15
Felipe Maia,dem,141429.0,9
Fernando Monteiro,pp,92699.0,6
Fernando Torres,psd,160676.0,1
Flaviano Melo,pmdb,141434.0,15
Flávia Morais,pdt,160598.0,8
Francisco Chapadinha,pode,178907.0,1
Francisco Chapadinha,ptn,178907.0,1
Francisco Floriano,dem,160677.0,10
Franklin,pp,186775.0,13
Franklin Lima,pp,186775.0,4
Fábio Faria,psd,141428.0,21
Fábio Mitidieri,psd,178969.0,8
Fábio Ramalho,pmdb,141427.0,24
Fábio Sousa,psdb,178877.0,9
Félix Mendonça Júnior,pdt,160666.0,7
Gabriel Guimarães,pt,129037.0,22
Genecias Noronha,solidaried,160669.0,26
George Hilton,psb,141441.0,18
Geovania de Sá,psdb,178966.0,2
Geraldo Resende,psdb,74374.0,4
Giacobo,pr,74383.0,32
Gilberto Nascimento,psc,74270.0,6
Giovani Cherini,pr,160673.0,45
Giuseppe Vecci,psdb,178878.0,13
Givaldo Carimbão,phs,74558.0,14
Givaldo Vieira,pt,178872.0,24
Glauber Braga,psol,152605.0,1
Gonzaga Patriota,psb,74419.0,26
Gorete Pereira,pr,129618.0,18
Goulart,psd,178980.0,8
Guilherme Coelho,psdb,194259.0,6
Guilherme Mussi,pp,160667.0,33
Heitor Schuch,psb,178964.0,6
Helder Salomão,pt,178873.0,10
Henrique Fontana,pt,73482.0,15
Herculano Passos,psd,178981.0,5
Hermes Parcianello,pmdb,73772.0,31
Heráclito Fortes,psb,97707.0,7
Heuler Cruvinel,psd,160596.0,13
Hildo Rocha,pmdb,178884.0,6
Hiran Gonçalves,pp,178959.0,18
Hissa Abrahão,pdt,178849.0,23
Hugo Leal,psb,141450.0,14
Hugo Motta,pmdb,160674.0,13
Hélio Leite,dem,178909.0,10
Iracema Portella,pp,67138.0,26
Irajá Abreu,psd,81232.0,21
Irmão Lazaro,psc,178855.0,21
Izalci Lucas,psdb,4931.0,17
Izaque Silva,psdb,196378.0,2
JHC,psb,178842.0,23
Jaime Martins,psd,74665.0,15
Jair Bolsonaro,psc,74847.0,6
Jandira Feghali,pcdob,74848.0,14
Janete Capiberibe,psb,73926.0,7
Jarbas Vasconcelos,pmdb,131943.0,1
Jean Wyllys,psol,160672.0,9
Jefferson Campos,psd,74273.0,16
Jerônimo Goergen,pp,160570.0,9
Jhonatan de Jesus,prb,160531.0,12
Joaquim Passarinho,psd,178910.0,4
